SessionDate,SessionName,ChannelNumber,Region,Probe
06/27/18,Chap00_rec47,40,LOFC,2
06/27/18,Chap00_rec47,41,LOFC,2
06/27/18,Chap00_rec47,42,LOFC,2
06/27/18,Chap00_rec47,43,LOFC,2
06/27/18,Chap00_rec47,44,LOFC,2
06/27/18,Chap00_rec47,45,LOFC,2
06/27/18,Chap00_rec47,46,LOFC,2
06/27/18,Chap00_rec47,47,LOFC,2
06/27/18,Chap00_rec47,48,LOFC,2
06/27/18,Chap00_rec47,65,LCN,3
06/27/18,Chap00_rec47,66,LCN,3
06/27/18,Chap00_rec47,67,LCN,3
06/27/18,Chap00_rec47,68,LCN,3
06/27/18,Chap00_rec47,69,LCN,3
06/27/18,Chap00_rec47,70,LCN,3
06/27/18,Chap00_rec47,71,LCN,3
06/27/18,Chap00_rec47,72,LCN,3
06/27/18,Chap00_rec47,73,LCN,3
06/27/18,Chap00_rec47,74,LCN,3
06/27/18,Chap00_rec47,75,LCN,3
06/27/18,Chap00_rec47,76,LCN,3
06/27/18,Chap00_rec47,77,LCN,3
06/27/18,Chap00_rec47,78,LCN,3
06/27/18,Chap00_rec47,79,LCN,3
06/27/18,Chap00_rec47,80,LCN,3
06/27/18,Chap00_rec47,81,LOFC,4
06/27/18,Chap00_rec47,82,LOFC,4
06/27/18,Chap00_rec47,83,LOFC,4
06/27/18,Chap00_rec47,84,LOFC,4
06/27/18,Chap00_rec47,85,LOFC,4
06/27/18,Chap00_rec47,86,LOFC,4
06/27/18,Chap00_rec47,87,LOFC,4
06/27/18,Chap00_rec47,88,LOFC,4
06/27/18,Chap00_rec47,89,LOFC,4
06/27/18,Chap00_rec47,90,LOFC,4
06/27/18,Chap00_rec47,91,LOFC,4
06/27/18,Chap00_rec47,92,LOFC,4
06/27/18,Chap00_rec47,93,LOFC,4
06/27/18,Chap00_rec47,94,LOFC,4
06/27/18,Chap00_rec47,95,LOFC,4
06/27/18,Chap00_rec47,96,LOFC,4
06/27/18,Chap00_rec47,113,LOFC,5
06/27/18,Chap00_rec47,114,LOFC,5
06/27/18,Chap00_rec47,115,LOFC,5
06/27/18,Chap00_rec47,116,LOFC,5
06/27/18,Chap00_rec47,117,LOFC,5
06/27/18,Chap00_rec47,118,LOFC,5
06/27/18,Chap00_rec47,119,LOFC,5
06/27/18,Chap00_rec47,120,LOFC,5
06/27/18,Chap00_rec47,121,LOFC,5
06/27/18,Chap00_rec47,122,LOFC,5
06/27/18,Chap00_rec47,123,LOFC,5
06/27/18,Chap00_rec47,124,LOFC,5
06/27/18,Chap00_rec47,125,LOFC,5
06/27/18,Chap00_rec47,126,LOFC,5
06/27/18,Chap00_rec47,127,LOFC,5
06/27/18,Chap00_rec47,128,LOFC,5
06/27/18,Chap00_rec47,145,LCN,6
06/27/18,Chap00_rec47,146,LCN,6
06/27/18,Chap00_rec47,147,LCN,6
06/27/18,Chap00_rec47,148,LCN,6
06/27/18,Chap00_rec47,149,LCN,6
06/27/18,Chap00_rec47,150,LCN,6
06/27/18,Chap00_rec47,151,LCN,6
06/27/18,Chap00_rec47,152,LCN,6
06/27/18,Chap00_rec47,153,LCN,6
06/27/18,Chap00_rec47,154,LCN,6
06/27/18,Chap00_rec47,155,LCN,6
06/27/18,Chap00_rec47,156,LCN,6
06/27/18,Chap00_rec47,157,LCN,6
06/27/18,Chap00_rec47,158,LCN,6
06/27/18,Chap00_rec47,159,LCN,6
06/27/18,Chap00_rec47,160,LCN,6
07/03/18,Chap00_rec49,1,LOFC,1
07/03/18,Chap00_rec49,2,LOFC,1
07/03/18,Chap00_rec49,3,LOFC,1
07/03/18,Chap00_rec49,4,LOFC,1
07/03/18,Chap00_rec49,5,LOFC,1
07/03/18,Chap00_rec49,6,LOFC,1
07/03/18,Chap00_rec49,7,LOFC,1
07/03/18,Chap00_rec49,8,LOFC,1
07/03/18,Chap00_rec49,9,LOFC,1
07/03/18,Chap00_rec49,10,LOFC,1
07/03/18,Chap00_rec49,11,LOFC,1
07/03/18,Chap00_rec49,12,LOFC,1
07/03/18,Chap00_rec49,13,LOFC,1
07/03/18,Chap00_rec49,14,LOFC,1
07/03/18,Chap00_rec49,15,LOFC,1
07/03/18,Chap00_rec49,16,LOFC,1
07/03/18,Chap00_rec49,17,LOFC,2
07/03/18,Chap00_rec49,18,LOFC,2
